,latitude,longitude,name
0,40.759392999999996,-73.985288,Starbucks
1,40.760040999999994,-73.985579,Starbucks
2,40.75663838,-73.99094694,Starbucks
3,40.76056698741214,-73.9838093298237,Starbucks
4,40.75799862,-73.98894971,Starbucks
5,40.760445000000004,-73.98719,Starbucks
6,40.7542922234128,-73.98704612024362,Starbucks
7,40.75953488433791,-73.98098084615313,Starbucks
8,40.75661177752009,-73.98584961891173,Starbucks
9,40.762110813414644,-73.98363055436157,Starbucks
10,40.756960292083356,-73.98937805564258,Starbucks
11,40.7556288776424,-73.98387285120269,Starbucks
12,40.75824934428419,-73.98588716983795,Starbucks
13,40.75779604,-73.98251187,Starbucks
14,40.76190095,-73.98659719,Starbucks
15,40.7569017629723,-73.98128721212817,Starbucks
16,40.75485889,-73.98390393,Starbucks
17,40.760929737925146,-73.98662972875655,Vegan Restaurants
18,40.757688835495784,-73.98883631344103,Vegan Restaurants
19,40.756619,-73.983471,Vegan Restaurants
20,40.760484000000005,-73.989855,Vegan Restaurants
21,40.753997999999996,-73.98566,Vegan Restaurants
22,40.75818714742827,-73.98911699697679,Vegan Restaurants
23,40.754640331117024,-73.98521536250983,Vegan Restaurants
24,40.75404928406971,-73.98601827314144,Vegan Restaurants
25,40.76030414131439,-73.98141719010201,Vegan Restaurants
26,40.75840015048533,-73.98059649550936,Vegan Restaurants
27,40.760723,-73.986646,Vegan Restaurants
28,40.75457216704717,-73.98425119467512,Vegan Restaurants
29,40.761055,-73.98275500000001,Vegan Restaurants
30,40.75801316155085,-73.98557692419998,Nightlife Spot
31,40.75867901649882,-73.98304500009719,Nightlife Spot
32,40.759710999999996,-73.98610699999999,Nightlife Spot
33,40.75669828942629,-73.98468991954745,Nightlife Spot
34,40.75666307392154,-73.98432672642164,Nightlife Spot
35,40.760448074349696,-73.98570892274259,Nightlife Spot
36,40.7589663,-73.98961729999998,Nightlife Spot
37,40.760144903643706,-73.98662695439016,Nightlife Spot
38,40.75904160050783,-73.99004327793013,Nightlife Spot
39,40.758579,-73.98594,Nightlife Spot
40,40.75960047129065,-73.9897146794391,Nightlife Spot
41,40.7554473,-73.986184,Nightlife Spot
42,40.756095132408475,-73.98686288127685,Nightlife Spot
43,40.76070039020589,-73.98791378713977,Nightlife Spot
44,40.76157588888147,-73.98607619461238,Nightlife Spot
45,40.755831050090535,-73.98225689622853,Nightlife Spot
46,40.76137916206961,-73.98175769517468,Nightlife Spot
47,40.76132653913353,-73.98529252121914,Nightlife Spot
48,40.75824934428419,-73.98086071014404,Nightlife Spot
49,40.75409550950712,-73.98601454959868,Nightlife Spot
50,40.76018093601126,-73.9886805488901,Nightlife Spot
51,40.76050967111895,-73.98478661138066,Nightlife Spot
52,40.76037011269929,-73.98730652368901,Nightlife Spot
53,40.754382,-73.98563,Nightlife Spot
54,40.75545897822777,-73.98239364424586,Nightlife Spot
55,40.75516955471529,-73.98693800107652,Nightlife Spot
56,40.762098640594076,-73.98353380475322,Nightlife Spot
57,40.75624537879892,-73.98148633509516,Nightlife Spot
58,40.75557513723317,-73.98132995248353,Nightlife Spot
59,40.75526151840718,-73.98288809343393,Nightlife Spot
60,40.76010628805884,-73.98072123527527,Child service care
61,40.760676000000004,-73.98321,Child service care
0,40.757929,-73.985506,Design companies
1,40.757929,-73.985506,Design companies
2,40.757929,-73.985506,Design companies
3,40.757929,-73.985506,Design companies
4,40.757929,-73.985506,Design companies
5,40.757929,-73.985506,Design companies
6,40.757725,-73.986011,Design companies
7,40.7566658,-73.9827553,Design companies
8,40.756054,-73.986951,Design companies
9,40.756054,-73.986951,Design companies
10,40.756054,-73.986951,Design companies
11,40.756054,-73.986951,Design companies
12,40.756054,-73.986951,Design companies
13,40.756054,-73.986951,Design companies
14,40.7550708,-73.9869523,Design companies
15,40.75362,-73.986557,Design companies
16,40.753918,-73.981237,Design companies
17,40.753918,-73.981237,Design companies
18,40.761855,-73.983754,Design companies
19,40.758062,-73.978432,Design companies
20,40.752957,-73.98546,Design companies
21,40.753202,-73.986771,Design companies
22,40.754211,-73.97917,Design companies
23,40.762674,-73.9821315,Design companies
24,40.753385,-73.98962,Design companies
25,40.752325,-73.988477,Design companies
26,40.753931,-73.991123,Design companies
27,40.754698,-73.992152,Design companies
28,40.752898,-73.990557,Design companies
29,40.755243,-73.9935,Design companies
30,40.74963,-73.982575,Design companies
31,40.751363,-73.975857,Design companies
0,40.73867,-73.89209,Airport
0,40.757929,-73.985506,NEW OFFICE
